restaurant,dish_name,description,price
Freshslice Pizza (1609 Douglas Street),BBQ CHICKEN BACON FEAST,No description,$16.99
Green Leaf Vietnamese Bistro (Douglas St),4. Deep-Fried Spring Rolls (3 pcs),No description,$12.00
Green Leaf Vietnamese Bistro (Douglas St),1. Salad Roll (2 pcs),No description,$12.00
Green Leaf Vietnamese Bistro (Douglas St),3. Grilled Pork Patties (2 pcs),No description,$12.00
Green Leaf Vietnamese Bistro (Douglas St),7. Deep-Fried Wontons,No description,$12.00
Green Leaf Vietnamese Bistro (Douglas St),11. Special Vietnamese Crepe,No description,$17.00
Green Leaf Vietnamese Bistro (Douglas St),9. Fried Chicken Wings,No description,$15.00
Green Leaf Vietnamese Bistro (Douglas St),5. Fresh Spring Rolls (2 pcs),No description,$12.00
Green Leaf Vietnamese Bistro (Douglas St),8. Deep-Fried Prawns,No description,$12.00
Green Leaf Vietnamese Bistro (Douglas St),6. Deep-Fried Tofu,No description,$12.00
Green Leaf Vietnamese Bistro (Douglas St),2. Shredded Pork (2 pcs),No description,$12.00
Green Leaf Vietnamese Bistro (Douglas St),12. Crispy Turmeric Prawn Cakes,No description,$17.00
Green Leaf Vietnamese Bistro (Douglas St),14. Green Papaya Salad,No description,$20.00
Green Leaf Vietnamese Bistro (Douglas St),15. Beef // Chicken Salad,No description,$20.00
Green Leaf Vietnamese Bistro (Douglas St),16. Fresh Mango Salad,No description,$20.00
Green Leaf Vietnamese Bistro (Douglas St),31. Spicy Beef Noodle Soup,No description,$21.00
Green Leaf Vietnamese Bistro (Douglas St),17. Special Beef Noodle Soup,No description,$21.00
Green Leaf Vietnamese Bistro (Douglas St),29. Chicken Pho,No description,$19.00
Green Leaf Vietnamese Bistro (Douglas St),19. Rare Steak and Brisket Pho,No description,$19.00
Green Leaf Vietnamese Bistro (Douglas St),18. Sliced Rare Steak Pho,No description,$19.00
Green Leaf Vietnamese Bistro (Douglas St),28. Brisket Pho,No description,$19.00
Hi Five Chicken (Victoria),Chicken Party Meal (12 pcs),No description,$50.71
Hi Five Chicken (Victoria),Korean Chicken Sandwich,No description,$8.99
Hi Five Chicken (Victoria),Korean Chicken Sandwich Combo,No description,$13.99
Hi Five Chicken (Victoria),Kickin' Chicken Pie,No description,$2.39
Hi Five Chicken (Victoria),Mac 'n' Cheese,No description,$7.99
Hi Five Chicken (Victoria),Canuck Poutine,No description,$8.29
Hi Five Chicken (Victoria),Jalapeno Jack Poppers,No description,$7.99
Hi Five Chicken (Victoria),Onion Rings,No description,$7.99
Hi Five Chicken (Victoria),Chicken (3 Pcs),No description,$14.79
Hi Five Chicken (Victoria),Chicken,No description,$10.49
Hi Five Chicken (Victoria),Chicken Thigh (1 pc),No description,$5.99
Hi Five Chicken (Victoria),Chicken Leg (1 pc),No description,$4.79
Hi Five Chicken (Victoria),Chicken Breast (1 pc),No description,$5.99
Hi Five Chicken (Victoria),Chicken (2 pcs),No description,$10.49
Hi Five Chicken (Victoria),2 pc Chicken Meal,No description,$15.49
Hi Five Chicken (Victoria),3 pc Chicken Meal,No description,$19.79
Hi Five Chicken (Victoria),4 pc Chicken Meal,No description,$22.99
Hi Five Chicken (Victoria),Home-Style Spicy Chicken Sandwich (Fried),No description,$12.99
Hi Five Chicken (Victoria),Hi Five Classic,No description,$12.99
Hi Five Chicken (Victoria),Spicy Roasted Chicken Sandwich,No description,$11.99
Sabor Mix Latino,Pupusas De Queso,No description,$5.00
Sabor Mix Latino,Pupusas De Loroco,No description,$5.00
Sabor Mix Latino,Pupusas Revueltas,No description,$5.00
Sabor Mix Latino,Birria Taco,No description,$5.00
Sabor Mix Latino,Asada Taco,No description,$5.00
Sabor Mix Latino,Adobada Taco,No description,$5.00
Sabor Mix Latino,Taco Sampler,No description,$22.50
Sabor Mix Latino,Chicken Taco,No description,$5.00
Sabor Mix Latino,Burritos,No description,$18.00
Sabor Mix Latino,Chicharón with Yuca or Tortillas (Chicharón Con Yuca or Tortillas),No description,$25.00
Sabor Mix Latino,Carne Adobada,No description,$25.00
Sabor Mix Latino,Quesadilla with Meat,No description,$14.00
Sabor Mix Latino,Veggie Burrito,No description,$16.00
Sabor Mix Latino,Carne Asada,No description,$25.00
Sabor Mix Latino,Salsa,No description,$2.50
Sabor Mix Latino,Rice,No description,$5.00
Sabor Mix Latino,Black Beans,No description,$5.00
Sabor Mix Latino,Sour Cream,No description,$2.50
Sabor Mix Latino,Corn Tortillas (3 pcs),No description,$3.50
Sabor Mix Latino,Extra Meat,No description,$3.00
Local Pizza (1483 Douglas St),"Your Pizza Your Way Pizza (12"") (Medium)",No description,$13.75
Local Pizza (1483 Douglas St),"Your Pizza Your Way Pizza (16"") (Extra-Large)",No description,$23.75
Local Pizza (1483 Douglas St),"Tandoori Paneer Pizza (12"") (Medium)",No description,$18.75
Local Pizza (1483 Douglas St),Mexican Beef Taco Pizza,No description,$18.75
Local Pizza (1483 Douglas St),Beyond Veggie- Plant Based,No description,$18.75
Local Pizza (1483 Douglas St),"Mexican Chicken Taco Pizza (12"")",No description,$18.75
Local Pizza (1483 Douglas St),Not so Hawaiian - Plant Based,No description,$18.75
Local Pizza (1483 Douglas St),"Tandoori Chicken Pizza (12"") (Medium)",No description,$18.75
Local Pizza (1483 Douglas St),"Double Pepperoni Pizza (12"") (Medium)",No description,$18.75
Local Pizza (1483 Douglas St),"Not So Hawaiian Pizza (12"") (Medium)",No description,$18.75
Local Pizza (1483 Douglas St),"Loaded Pizza (12"") (Medium)",No description,$18.75
Local Pizza (1483 Douglas St),"Meat Lovers Pizza (12"") (Medium)",No description,$18.75
Local Pizza (1483 Douglas St),"The Canuck Pizza (12"") (Medium)",No description,$18.75
Local Pizza (1483 Douglas St),"The Islander Pizza (12"") (Medium)",No description,$18.75
Local Pizza (1483 Douglas St),"Pesto Chicken Pizza (12"") (Medium)",No description,$18.75
Local Pizza (1483 Douglas St),"BBQ Chicken Pizza (12"") (Medium)",No description,$18.75
Local Pizza (1483 Douglas St),"Spicy Tandoori Pizza (12"") (Medium)",No description,$18.75
Local Pizza (1483 Douglas St),"Butter Chicken Pizza (12"") (Medium)",No description,$18.75
Local Pizza (1483 Douglas St),"The Greek Pizza (12"") (Medium)",No description,$18.75
Local Pizza (1483 Douglas St),"Veggie Garden Pizza (12"") (Medium)",No description,$18.75
Sizzling Tandoor (Johnson),Tandoori Chicken,No description,$22.00
Sizzling Tandoor (Johnson),Mixed Grill,No description,$34.00
Sizzling Tandoor (Johnson),Chicken Tikka,No description,$22.00
Sizzling Tandoor (Johnson),Shish Kebab,No description,$22.00
Sizzling Tandoor (Johnson),Malai Chicken Tikka,No description,$22.00
Sizzling Tandoor (Johnson),Tandoori Fish,No description,$24.00
Sizzling Tandoor (Johnson),Tandoori Vegetable Platter,No description,$23.00
Sizzling Tandoor (Johnson),Tandoori Prawns,No description,$28.00
Sizzling Tandoor (Johnson),Rice,No description,$5.50
Sizzling Tandoor (Johnson),Raita,No description,$4.25
Sizzling Tandoor (Johnson),Papadum,No description,$3.00
Sizzling Tandoor (Johnson),Mango Chutney,No description,$3.50
Sizzling Tandoor (Johnson),Achaar,No description,$2.00
Sizzling Tandoor (Johnson),Sliced Onions,No description,$3.50
Sizzling Tandoor (Johnson),Daal Soup,No description,$10.00
Sizzling Tandoor (Johnson),Caesar Salad,No description,$10.00
Sizzling Tandoor (Johnson),Tomato Soup,No description,$10.00
Sizzling Tandoor (Johnson),Sizzling Tandoor Green Salad (V),No description,$12.00
Sizzling Tandoor (Johnson),Mulligatawny Soup,No description,$12.00
