dish_id,name,description,price,restaurant_id
19,Iced Chai Latte,No description,$7.15,7
0,Traditional Tiramisu,No description,$6.39,9
1,New York Cheesecake,No description,$8.50,9
2,Ham + Cheese Croissant Sandwich,No description,$8.50,9
3,Garlic Sausage Croissant,No description,$9.69,9
4,Turkey /Egg Breakfast Croissant Sandwich,No description,$10.99,9
5,Bacon/ Kimchi Egg Croissant,No description,$10.99,9
6,Almond Croissant,No description,$7.09,9
7,Lemon Tart,No description,$5.81,9
8,Blueberry Muffin,No description,$3.69,9
9,Double Chocolate Muffin,No description,$3.95,9
10,Apple Crumble Muffin,No description,$3.69,9
11,PeanutButter Muffin,No description,$3.95,9
12,Iced London Fog,No description,$7.26,9
13,Italian Soda,No description,$3.68,9
14,Iced Peaflower Latte,No description,$7.38,9
15,Iced Chai Latte,No description,$7.26,9
16,Iced Latte,No description,$7.38,9
17,Iced Mocha,No description,$8.05,9
18,Iced strawberry latte,No description,$8.05,9
19,Iced White Mocha,No description,$8.05,9
0,puppy treats! peanut butter & banana,No description,$0.00,10
1,sausage & pesto breakfast sandwich,No description,$11.50,10
2,b.e.l.t deluxe,No description,$13.50,10
3,cbc breakfast sandwich,No description,$11.50,10
4,Bacon Egg tomato Breakfast Wrap,No description,$13.80,10
5,Cheezy breakfast sandwich,No description,$9.50,10
6,Maple Breakfast Wrap,No description,$13.80,10
7,taco breakfast wrap (1/2 lb),No description,$14.80,10
8,b.e.l.t,No description,$12.00,10
9,Maple breakfast sandwich,No description,$11.50,10
10,chick'n fiesta breakfast wrap (1/2 lb),No description,$14.80,10
11,"sausage, egg & cheeze bagel",No description,$13.50,10
12,S.E.L.T,No description,$13.50,10
13,Chick'n Clubhouse Sandwich,No description,$14.00,10
14,ciabatta  sandwich grilled,No description,$14.00,10
15,B.L.T,No description,$12.50,10
16,big mac crunch wrap,No description,$16.50,10
17,chick'n crunch wrap super,No description,$15.50,10
18,dynamite chick'n crunch wrap,No description,$16.50,10
19,crunch wrap super (taco),No description,$15.50,10
0,Good Morning Breakfast,No description,$14.99,11
1,Full Breakfast,No description,$19.99,11
2,Omelet,No description,$14.99,11
3,Skillet Melt,No description,$20.99,11
4,French Toast (2 pcs),No description,$15.99,11
5,Low-Carb Breakfast,No description,$14.49,11
6,Homemade Pancakes (2 pcs),No description,$15.99,11
7,Bagel with Cream Cheese and Fruit Bowl,No description,$14.49,11
8,Breakfast Sandwich,No description,$14.49,11
9,"Two Eggs, Toast (2 pcs), Jam, and Hash Browns",No description,$9.99,11
10,French Toast (2 pcs) and Hash Browns,No description,$10.49,11
11,French Toast (2 pcs) with Yogurt and Fresh Fruit,No description,$17.99,11
12,Hashbrown Cheese Melt,No description,$9.49,11
13,French Toast (2 pcs),No description,$7.49,11
14,Hash Browns,No description,$5.49,11
15,French Fries,No description,$5.49,11
16,Ham (1 pc),No description,$5.49,11
17,Bacon (3 pcs),No description,$5.49,11
18,Sausage (3 pcs),No description,$5.49,11
19,Pancakes (2 pcs),No description,$8.49,11
0,Traditional Breakfast with Toast and Hashbrowns,No description,$18.95,13
1,Famous Montreal-Smoked Meat Benny,No description,$21.95,13
2,Avocado and Tomato Benny,No description,$20.95,13
3,Classic Benny,No description,$21.95,13
4,Chicken and Waffle,No description,$20.95,13
5,Bacon and Waffle,No description,$19.95,13
6,Meat Lovers' Omelet,No description,$23.95,13
7,BSD Omelet,No description,$21.95,13
8,Veggie Omelet,No description,$20.95,13
9,Chelsea Omelet,No description,$21.95,13
10,Ham Omelet,No description,$21.95,13
11,Reuben,No description,$17.95,13
12,Famous Montreal Smoked Meat Combo (Regular Size),No description,$20.95,13
13,Famous Montreal Smoked Meat Combo (Super Size),No description,$22.95,13
14,Turkey Clubhouse with Fries,No description,$20.95,13
15,Crispy Chicken Tenders with Fries,No description,$19.95,13
16,Vietnamese Baguette-Banh Mi,No description,$13.95,13
17,Original Poutine,No description,$16.95,13
18,Grilled Chicken Vermicelli with Spring Rolls,No description,$19.95,13
19,Original Poutine with Meat,No description,$20.95,13
0,Honey BBQ Saucy Chicken Strips (Cals: 460),No description,$10.28,14
1,Buffalo Saucy Chicken Strips (Cals: 420),No description,$10.28,14
2,Honey BBQ Saucy Chicken Strips Combo,No description,Priced by add-ons,14
3,Dave's Double® with Cheese (Cals: 860),No description,$10.40,14
4,Bacon Deluxe 1/4 lb* Single with Cheese (Cals: 650),No description,$9.47,14
5,Bacon Deluxe 1/2 lb* Double with Cheese (Cals: 920),No description,$11.57,14
6,Jr. Hamburger Deluxe (Cals: 360),No description,$2.09,14
7,Bacon Deluxe 3/4 lb* Triple with Cheese (Cals: 1220),No description,$14.26,14
8,Dave's Single® with Cheese (Cals: 590),No description,$8.30,14
9,Dave's Triple® with Cheese (Cals: 1170),No description,$13.09,14
10,Baconator® with Cheese (Cals: 970),No description,$12.74,14
11,Son of Baconator® with Cheese (Cals: 670),No description,$8.53,14
12,Double Stack (Cals: 440),No description,$4.08,14
13,Double Jr. Bacon Cheeseburger (Cals: 530),No description,$4.08,14
14,Jr. Cheeseburger Deluxe (Cals: 360),No description,$2.91,14
15,Jr. Bacon Cheeseburger (Cals: 390),No description,$2.91,14
16,Cheesy Cheddar Burger (Cals: 320),No description,$2.33,14
17,6-Piece Crispy Chicken Nuggets (Cals: 190),No description,$4.08,14
18,10-Piece Crispy Chicken Nuggets (Cals: 410),No description,$8.88,14
19,Spicy Chicken Wrap Duo (Cals: 720),No description,$7.83,14
0,NOURISH BOWL,No description,$16.55,15
1,BUILD A SALAD BOWL,No description,Priced by add-ons,15
2,MARKET BOWL,No description,$19.00,15
3,EVERYDAY BOWL,No description,$14.10,15
4,"THAI VEGGIE HOT BOWL (GF,V,NF)",No description,$16.55,15
5,TURKEY CHILLI HOT BOWL (GF),No description,$17.80,15
6,MOROCCAN CHICKPEA HOT BOWL,No description,$16.55,15
